CitedEID,MiscitedEID,Status
2-s2.0-85116524246,2-s2.0-85145909801,success
2-s2.0-85116524246,2-s2.0-85175602312,success
2-s2.0-85094114118,2-s2.0-85147103660,success
2-s2.0-85094114118,2-s2.0-85106109327,success
2-s2.0-85082736453,2-s2.0-85199868420,success
2-s2.0-85116537453,2-s2.0-85120639159,success
2-s2.0-85071506977,2-s2.0-85046258963,success
2-s2.0-85071506977,2-s2.0-85206054056,success
2-s2.0-85071506977,2-s2.0-85189651213,success
2-s2.0-85071506977,2-s2.0-85154014450,success
2-s2.0-85071506977,2-s2.0-85042112150,success
2-s2.0-85071506977,2-s2.0-85112732271,success
2-s2.0-85071506977,2-s2.0-85206022907,success
2-s2.0-85071506977,2-s2.0-85102183731,success
2-s2.0-85071506977,2-s2.0-85203111245,success
2-s2.0-85071506977,2-s2.0-85095407653,success
2-s2.0-85078153835,2-s2.0-85091637036,success
2-s2.0-85078153835,2-s2.0-85077233137,success
2-s2.0-85115187341,2-s2.0-85144824102,success
2-s2.0-85088175819,2-s2.0-85128943642,success
2-s2.0-85094324334,2-s2.0-85193625333,success
2-s2.0-85094324334,2-s2.0-85149067918,success
2-s2.0-85079448864,2-s2.0-85206679020,success
2-s2.0-85093934285,2-s2.0-85133498477,success
2-s2.0-85084300363,2-s2.0-85101801699,success
2-s2.0-85138457469,2-s2.0-85188141860,success
2-s2.0-85138457469,2-s2.0-85173210808,success
2-s2.0-85138457469,2-s2.0-85173249233,success
2-s2.0-85138457469,2-s2.0-85212424219,success
2-s2.0-85138457469,2-s2.0-85013913344,success
2-s2.0-85138457469,2-s2.0-85108849451,success
2-s2.0-85138457469,2-s2.0-85189440300,success
2-s2.0-85138457469,2-s2.0-85196955866,success
2-s2.0-85138457469,2-s2.0-85199702871,success
2-s2.0-85138457469,2-s2.0-85170360219,success
2-s2.0-85138457469,2-s2.0-85200831328,success
2-s2.0-85138457469,2-s2.0-85195833801,success
2-s2.0-85138457469,2-s2.0-85120771959,success
2-s2.0-85138457469,2-s2.0-84984979653,success
2-s2.0-85138457469,2-s2.0-85181542161,success
2-s2.0-85138457469,2-s2.0-85141881730,success
2-s2.0-85138457469,2-s2.0-85198614143,success
2-s2.0-85138457469,2-s2.0-85182164680,success
