EID,Abstract,Year
2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,2020
2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,2020
2-s2.0-85071506977,https://www.scopus.com/record/display.url?eid=2-s2.0-85071506977&origin=resultslist,2020
2-s2.0-85079448864,https://www.scopus.com/record/display.url?eid=2-s2.0-85079448864&origin=resultslist,2020
2-s2.0-85078514009,https://www.scopus.com/record/display.url?eid=2-s2.0-85078514009&origin=resultslist,2020
2-s2.0-85093980168,https://www.scopus.com/record/display.url?eid=2-s2.0-85093980168&origin=resultslist,2020
2-s2.0-85071991973,https://www.scopus.com/record/display.url?eid=2-s2.0-85071991973&origin=resultslist,2020
2-s2.0-85098877351,https://www.scopus.com/record/display.url?eid=2-s2.0-85098877351&origin=resultslist,2021
2-s2.0-85091628559,https://www.scopus.com/record/display.url?eid=2-s2.0-85091628559&origin=resultslist,2021
2-s2.0-85128363362,https://www.scopus.com/record/display.url?eid=2-s2.0-85128363362&origin=resultslist,2022
2-s2.0-85082975751,https://www.scopus.com/record/display.url?eid=2-s2.0-85082975751&origin=resultslist,2020
2-s2.0-85084414003,https://www.scopus.com/record/display.url?eid=2-s2.0-85084414003&origin=resultslist,2020
2-s2.0-85072704383,https://www.scopus.com/record/display.url?eid=2-s2.0-85072704383&origin=resultslist,2020
2-s2.0-85097849494,https://www.scopus.com/record/display.url?eid=2-s2.0-85097849494&origin=resultslist,2021
2-s2.0-85089365394,https://www.scopus.com/record/display.url?eid=2-s2.0-85089365394&origin=resultslist,2020
2-s2.0-85086286553,https://www.scopus.com/record/display.url?eid=2-s2.0-85086286553&origin=resultslist,2020
2-s2.0-85123861704,https://www.scopus.com/record/display.url?eid=2-s2.0-85123861704&origin=resultslist,2022
2-s2.0-85099408752,https://www.scopus.com/record/display.url?eid=2-s2.0-85099408752&origin=resultslist,2021
2-s2.0-85082509229,https://www.scopus.com/record/display.url?eid=2-s2.0-85082509229&origin=resultslist,2020
2-s2.0-85105893351,https://www.scopus.com/record/display.url?eid=2-s2.0-85105893351&origin=resultslist,2021
2-s2.0-85083689492,https://www.scopus.com/record/display.url?eid=2-s2.0-85083689492&origin=resultslist,2020
2-s2.0-85084300363,https://www.scopus.com/record/display.url?eid=2-s2.0-85084300363&origin=resultslist,2020
2-s2.0-85138457469,https://www.scopus.com/record/display.url?eid=2-s2.0-85138457469&origin=resultslist,2023
2-s2.0-85090949428,https://www.scopus.com/record/display.url?eid=2-s2.0-85090949428&origin=resultslist,2021
2-s2.0-85084531540,https://www.scopus.com/record/display.url?eid=2-s2.0-85084531540&origin=resultslist,2020
2-s2.0-85098757649,https://www.scopus.com/record/display.url?eid=2-s2.0-85098757649&origin=resultslist,2022
2-s2.0-85074855660,https://www.scopus.com/record/display.url?eid=2-s2.0-85074855660&origin=resultslist,2020
2-s2.0-85082320426,https://www.scopus.com/record/display.url?eid=2-s2.0-85082320426&origin=resultslist,2020
2-s2.0-85088175819,https://www.scopus.com/record/display.url?eid=2-s2.0-85088175819&origin=resultslist,2020
