EID,Abstract,Year,Title
2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,2020,An Underwater Image Enhancement Benchmark Dataset and beyond
2-s2.0-85085600049,https://www.scopus.com/record/display.url?eid=2-s2.0-85085600049&origin=resultslist,2020,Zero-reference deep curve estimation for low-light image enhancement
2-s2.0-85071506977,https://www.scopus.com/record/display.url?eid=2-s2.0-85071506977&origin=resultslist,2020,A survey on ensemble learning
2-s2.0-85079448864,https://www.scopus.com/record/display.url?eid=2-s2.0-85079448864&origin=resultslist,2020,A droplet-based electricity generator with high instantaneous power density
2-s2.0-85078514009,https://www.scopus.com/record/display.url?eid=2-s2.0-85078514009&origin=resultslist,2020,Boosting Oxygen Reduction of Single Iron Active Sites via Geometric and Electronic Engineering: Nitrogen and Phosphorus Dual Coordination
2-s2.0-85093980168,https://www.scopus.com/record/display.url?eid=2-s2.0-85093980168&origin=resultslist,2020,Dendrites in Zn-Based Batteries
2-s2.0-85071991973,https://www.scopus.com/record/display.url?eid=2-s2.0-85071991973&origin=resultslist,2020,Underwater scene prior inspired deep underwater image and video enhancement
2-s2.0-85098877351,https://www.scopus.com/record/display.url?eid=2-s2.0-85098877351&origin=resultslist,2021,11 TOPS photonic convolutional accelerator for optical neural networks
2-s2.0-85091628559,https://www.scopus.com/record/display.url?eid=2-s2.0-85091628559&origin=resultslist,2021,Heterostructured materials: superior properties from hetero-zone interaction
2-s2.0-85128363362,https://www.scopus.com/record/display.url?eid=2-s2.0-85128363362&origin=resultslist,2022,"MXene chemistry, electrochemistry and energy storage applications"
2-s2.0-85082975751,https://www.scopus.com/record/display.url?eid=2-s2.0-85082975751&origin=resultslist,2020,Phase engineering of nanomaterials
2-s2.0-85084414003,https://www.scopus.com/record/display.url?eid=2-s2.0-85084414003&origin=resultslist,2020,Micro-light-emitting diodes with quantum dots in display technology
2-s2.0-85072704383,https://www.scopus.com/record/display.url?eid=2-s2.0-85072704383&origin=resultslist,2020,Clusterization-triggered emission: Uncommon luminescence from common materials
2-s2.0-85097849494,https://www.scopus.com/record/display.url?eid=2-s2.0-85097849494&origin=resultslist,2021,Low-Dimensional Metal Halide Perovskite Photodetectors
2-s2.0-85089365394,https://www.scopus.com/record/display.url?eid=2-s2.0-85089365394&origin=resultslist,2020,Lattice oxygen activation enabled by high-valence metal sites for enhanced water oxidation
2-s2.0-85086286553,https://www.scopus.com/record/display.url?eid=2-s2.0-85086286553&origin=resultslist,2020,Mussel-inspired hydrogels: From design principles to promising applications
2-s2.0-85123861704,https://www.scopus.com/record/display.url?eid=2-s2.0-85123861704&origin=resultslist,2022,Rare-Earth Doping in Nanostructured Inorganic Materials
