Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An underwater image enhancement benchmark dataset and beyond,2-s2.0-85150594591,https://www.scopus.com/record/display.url?eid=2-s2.0-85150594591&origin=resultslist,A multi-path attention network for non-uniform blind image deblurring,2-s2.0-85150597100,https://www.scopus.com/record/display.url?eid=2-s2.0-85150597100&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An underwater image enhancement benchmark dataset and beyond,2-s2.0-85150594591,https://www.scopus.com/record/display.url?eid=2-s2.0-85150594591&origin=resultslist,Dynamic scene blind image deblurring based on local and non-local features,2-s2.0-85153110853,https://www.scopus.com/record/display.url?eid=2-s2.0-85153110853&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An Underwater Image Enhancement Benchmark Dataset and Beyond,2-s2.0-85077631118,https://www.scopus.com/record/display.url?eid=2-s2.0-85077631118&origin=resultslist,Research on underwater degraded image enhancement technology based on lightweight network,2-s2.0-85171133710,https://www.scopus.com/record/display.url?eid=2-s2.0-85171133710&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An Underwater Image Enhancement Benchmark Dataset and Beyond,2-s2.0-85077631118,https://www.scopus.com/record/display.url?eid=2-s2.0-85077631118&origin=resultslist,Underwater image restoration based on multi-scale attention fusion and convolutional neural network [基于多尺度注意力融合和卷积神经网络的水下图像恢复],2-s2.0-85110225135,https://www.scopus.com/record/display.url?eid=2-s2.0-85110225135&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An Underwater Image Enhancement Benchmark Dataset and Beyond,2-s2.0-85077631118,https://www.scopus.com/record/display.url?eid=2-s2.0-85077631118&origin=resultslist,Review on Key Technologies of Target Exploration in Underwater Optical Images,2-s2.0-85082657030,https://www.scopus.com/record/display.url?eid=2-s2.0-85082657030&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An Underwater Image Enhancement Benchmark Dataset and Beyond,2-s2.0-85077631118,https://www.scopus.com/record/display.url?eid=2-s2.0-85077631118&origin=resultslist,A fast image deformity correction algorithm for underwater turbulent image distortion,2-s2.0-85071757626,https://www.scopus.com/record/display.url?eid=2-s2.0-85071757626&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,Color Correction Method using Monocular Depth Estimation Model for Underwater Images,2-s2.0-85213393616,https://www.scopus.com/record/display.url?eid=2-s2.0-85213393616&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,WaveDiff: Underwater Visual Data Enhancement with Wavelet-Accelerated Diffusion,2-s2.0-85212410698,https://www.scopus.com/record/display.url?eid=2-s2.0-85212410698&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,Enhancement of Underwater Images using DCP and CycleGAN,2-s2.0-85207092242,https://www.scopus.com/record/display.url?eid=2-s2.0-85207092242&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,Underwater image restoration for seafloor targets with hybrid attention mechanisms and conditional generative adversarial network,2-s2.0-85145968178,https://www.scopus.com/record/display.url?eid=2-s2.0-85145968178&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,Enhancing Underwater Images with MultiScale Residual Attention Network,2-s2.0-85174279140,https://www.scopus.com/record/display.url?eid=2-s2.0-85174279140&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,YOLOX based Underwater Object Detection for Inshore Aquaculture,2-s2.0-85145783009,https://www.scopus.com/record/display.url?eid=2-s2.0-85145783009&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,Object Recognition based Self-Position Estimation for Underwater Robots,2-s2.0-85145769521,https://www.scopus.com/record/display.url?eid=2-s2.0-85145769521&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85145770582,https://www.scopus.com/record/display.url?eid=2-s2.0-85145770582&origin=resultslist,Image enhancement using nonlocal prior and gradient residual minimization for improved visualization of deep underwater image,2-s2.0-85121459752,https://www.scopus.com/record/display.url?eid=2-s2.0-85121459752&origin=resultslist,F04
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,An Underwater Image Enhancement Benchmark Dataset and Beyond,2-s2.0-85209225795,https://www.scopus.com/record/display.url?eid=2-s2.0-85209225795&origin=resultslist,Zero-UMSIE: a zero-shot underwater multi-scale image enhancement method based on isomorphic features,2-s2.0-85209212214,https://www.scopus.com/record/display.url?eid=2-s2.0-85209212214&origin=resultslist,F04; F07
An Underwater Image Enhancement Benchmark Dataset and beyond,2-s2.0-85079786193,https://www.scopus.com/record/display.url?eid=2-s2.0-85079786193&origin=resultslist,,2-s2.0-85161906557,https://www.scopus.com/record/display.url?eid=2-s2.0-85161906557&origin=resultslist,Underwater Image Enhancement via Residual Dense Block and Feature Pyramid Attention,2-s2.0-85161847445,https://www.scopus.com/record/display.url?eid=2-s2.0-85161847445&origin=resultslist,F04
