Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,Uretinex-net: Retinex-based deep unfolding network for low-light image enhancement. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (pp. 5901–5910),2-s2.0-85182824991,https://www.scopus.com/record/display.url?eid=2-s2.0-85182824991&origin=resultslist,IETAFusion: An illumination enhancement and target-aware infrared and visible image fusion network for security system of smart city,2-s2.0-85182842860,https://www.scopus.com/record/display.url?eid=2-s2.0-85182842860&origin=resultslist,F08; F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,LightenDiffusion: Unsupervised Low-Light Image Enhancement with Latent-Retinex Diffusion Models,2-s2.0-85210829488,https://www.scopus.com/record/display.url?eid=2-s2.0-85210829488&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Watching it in Dark: A Target-Aware Representation Learning Framework for High-Level Vision Tasks in Low Illumination,2-s2.0-85209878850,https://www.scopus.com/record/display.url?eid=2-s2.0-85209878850&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Detailed-based dictionary learning for low-light image enhancement using camera response model for industrial applications,2-s2.0-85199564912,https://www.scopus.com/record/display.url?eid=2-s2.0-85199564912&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Exploring Fast and Flexible Zero-Shot Low-Light Image/Video Enhancement,2-s2.0-85207688349,https://www.scopus.com/record/display.url?eid=2-s2.0-85207688349&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,A TransISP Based Image Enhancement Method for Visual Disbalance in Low-light Images,2-s2.0-85207231315,https://www.scopus.com/record/display.url?eid=2-s2.0-85207231315&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Low-light image enhancement using negative feedback pulse coupled neural network,2-s2.0-85197621055,https://www.scopus.com/record/display.url?eid=2-s2.0-85197621055&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,MRN-LOD: Multi-exposure Refinement Network for Low-light Object Detection,2-s2.0-85184779316,https://www.scopus.com/record/display.url?eid=2-s2.0-85184779316&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Dual-Branch Multi-Scale Optimization Network for Enhancing Low-Light Images in Rail Transit Obstacle Detection and Segmentation,2-s2.0-85211969599,https://www.scopus.com/record/display.url?eid=2-s2.0-85211969599&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,A Channel-Wise Guidance Sparse Transformer for Effective Dark Image Enhancement,2-s2.0-85206569089,https://www.scopus.com/record/display.url?eid=2-s2.0-85206569089&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Improved Attention-based Fusion Model Integrating DnCNN and Unet for Low-Light Image Enhancement,2-s2.0-85200128428,https://www.scopus.com/record/display.url?eid=2-s2.0-85200128428&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Low Light Image Enhancement in License Plate Recognition using URetinex-Net and TRBA,2-s2.0-85193201570,https://www.scopus.com/record/display.url?eid=2-s2.0-85193201570&origin=resultslist,F07
URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement,2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,URetinex-Net: Retinex-Based Deep Unfolding Network for Low-Light Image Enhancement,2-s2.0-85143840837,https://www.scopus.com/record/display.url?eid=2-s2.0-85143840837&origin=resultslist,Bootstrap Diffusion Model Curve Estimation for High Resolution Low-Light Image Enhancement,2-s2.0-85177428974,https://www.scopus.com/record/display.url?eid=2-s2.0-85177428974&origin=resultslist,F07
