"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","A Survey on Ensemble Learning for Data Stream Classifcation","2018","ACM Comput. Surv.","","","","1","33","32","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046258963&partnerID=40&md5=226d70113eeb13ab68bc1944367f3507","Article","Final","","Scopus","2-s2.0-85046258963"
"","","","","2017","A Survey on Ensemble Learning for Data Stream Classification","50","2","","23","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206054056&partnerID=40&md5=6ba990bafd48cb9a5746bf1ec220d0bb","Article","Final","","Scopus","2-s2.0-85206054056"
"","","","","0000","A survey on ensemble learning","14","2","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189651213&partnerID=40&md5=bf56d04e1f0a6a632da414bc1ebd6abd","Article","Final","","Scopus","2-s2.0-85189651213"
"","","","A survey on ensemble learning under the era of deep learning","2022","Artif Intell Rev","55","","","1","45","44","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154014450&partnerID=40&md5=e9638fa873c52457c7f04e4a5db4ee5f","Article","Final","","Scopus","2-s2.0-85154014450"
"","","","A survey on ensemble learning for data stream classification","2017","ACM Computing Surveys","50","2","","1","36","35","22","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042112150&partnerID=40&md5=88a0ad33cb75bf72704ab4086ebd8eb4","Article","Final","","Scopus","2-s2.0-85042112150"
"","","","","2021","A survey on ensemble learning under the era of deep learning","","","","","","","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112732271&partnerID=40&md5=550dd504ebd3f8e9ba166a7623e5f23b","Article","Final","","Scopus","2-s2.0-85112732271"
"","","","Fabr,Icio Embreck, Albert Bifet, “A Survey on Ensemble Learning for Data Stream Classification","2017","Article in ACM Computing Surveys","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206022907&partnerID=40&md5=9ee9fe826b0131baa177c81f3854e255","Article","Final","","Scopus","2-s2.0-85206022907"
"","","","","2017","A Survey on Ensemble Learning for Data Stream Classification","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102183731&partnerID=40&md5=57987a7a02759344685293e519c6dc8e","Article","Final","","Scopus","2-s2.0-85102183731"
"","","","","0000","). A survey on ensemble learning.","","2","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203111245&partnerID=40&md5=e385ab532602d0bfd50b70acd4a76ad0","Article","Final","","Scopus","2-s2.0-85203111245"
"","","","A survey on ensemble learning","2019","Frontiers of Computer Science","","","","1","18","17","12","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095407653&partnerID=40&md5=ce7fb480ee91c36bf7dc08f166e851ed","Article","Final","","Scopus","2-s2.0-85095407653"
