"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Chapter Six - Heterostructured materials: Processing techniques, properties, and potential applications","2023","","","","","121","162","41","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188141860&partnerID=40&md5=bb71fe2aa491b11adac14d2633137d77","Article","Final","","Scopus","2-s2.0-85188141860"
"","","","Perspective on Heterogeneous Deformation Induced (HDI) Strengthening and Work Hardening","2021","Heterostructured Materials","","","","17","31","14","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173210808&partnerID=40&md5=f6b6cb033a192704511e53af21a2b55b","Article","Final","","Scopus","2-s2.0-85173210808"
"","","","Strain hardening behaviors and strain rate sensitivity of gradient-grained Fe under compression over a wide range of strain rates","2021","Heterostructured Materials","","","","389","416","27","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173249233&partnerID=40&md5=655d7deb4f0a074db31646c6c4616ab5","Article","Final","","Scopus","2-s2.0-85173249233"
"","","","Effect of strain rate on mechanical properties of Cu/Ni multilayered composites processed by electrodeposition[M]//Heterostructured Materials","2021","Jenny Stanford Publishing","","","","679","694","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212424219&partnerID=40&md5=f9faa7e3009c78d777e393f8e63d75ac","Article","Final","","Scopus","2-s2.0-85212424219"
"","","","Preliminary study on synthesis conditions of porous montmorillonite heterostructured materials","2002","J Zhejiang Univ Tech","30","2","","95","99","4","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013913344&partnerID=40&md5=17d445587ed0da317d7ca35df74ed7f9","Article","Final","","Scopus","2-s2.0-85013913344"
"","","","","2020","In 6 - Electronic and Optoelectronic Properties of the Heterostructure Devices Composed of Two-Dimensional Layered Materials. 2D Nanoscale Heterostructured Materials, Micro and Nano Technologies","","","","151","193","42","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108849451&partnerID=40&md5=40e72999f49c7f12add35a27ce4381bc","Article","Final","","Scopus","2-s2.0-85108849451"
"","","","Heterostructured Materials","2021","","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189440300&partnerID=40&md5=13db4d380753dc744e3e951b6686ec57","Article","Final","","Scopus","2-s2.0-85189440300"
"","","","Nano-heterostructured materials - based sensors for safety and biomedical applications","2022","","","","","1","4","3","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196955866&partnerID=40&md5=e0ec1afe341ba8184d555d970a4c55d3","Article","Final","","Scopus","2-s2.0-85196955866"
"","","","ZnO/sepiolite heterostructured materials for photocatalytic degradation of emerging pollutants in wastewater","2017","","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199702871&partnerID=40&md5=f6a37892a0a95d3ef9d97837788c1a6d","Article","Final","","Scopus","2-s2.0-85199702871"
"","","","On Strain Hardening Mechanism in Gradient Nanostructures","2021","Heterostructured Materials","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170360219&partnerID=40&md5=27a8c9e06869b408d6f5f41b8a399e51","Article","Final","","Scopus","2-s2.0-85170360219"
"","","","On strain hardening mechanism in gradient nanostructures","2024","Heterostructured Materials","","","","323","360","37","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200831328&partnerID=40&md5=3ac9b9f9f948c36d44306d5508a05159","Article","Final","","Scopus","2-s2.0-85200831328"
"","","","","2023","Heterostructured materials. Progress in Materials Science","131","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195833801&partnerID=40&md5=0416c2d9d9ad84c547500d5dc7dd8ce1","Article","Final","","Scopus","2-s2.0-85195833801"
"","","","Extraordinary Strain Hardening by Gradient Structure. Heterostructured Materials","2021","Heterostructured Materials: Novel Materials with Unprecedented Mechanical Properties","","","","53","71","18","37","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120771959&partnerID=40&md5=b2199c2754f2a5ec58d1eaeb4f485e60","Article","Final","","Scopus","2-s2.0-85120771959"
"","","","","2013","Solar Diodes: Novel Heterostructured Materials for Self-powered Gas Sensors","","","","","","","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984979653&partnerID=40&md5=71458c2cae936452f1cc31628b66e0f9","Article","Final","","Scopus","2-s2.0-84984979653"
"","","","Influence of gradient structure volume fraction on the mechanical properties of pure copper","2021","Heterostructured Materials","","","","473","488","15","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181542161&partnerID=40&md5=912f17d30e172fbbb5fa4be83a1264a6","Article","Final","","Scopus","2-s2.0-85181542161"
