Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Barforoush, A.A., Shirazi, H., Emami, H.","7801310204;23393954500;55486401000;","A new classification framework to evaluate the entity profiling on the web: Past, present and future",2018,"ACM Computing Surveys","50","3","3066904","","",,12,"10.1145/3066904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027003491&doi=10.1145%2f3066904&partnerID=40&md5=244334d55dddcf96479762052d3d0d48",Article,"Final","",Scopus,2-s2.0-85027003491
"Luo, Q.","24921666400;","Research on paper submission management system by using automatic text categorization",2018,"Advances in Intelligent Systems and Computing","598",,,"168","173",,1,"10.1007/978-3-319-60011-6_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026205556&doi=10.1007%2f978-3-319-60011-6_17&partnerID=40&md5=923b39c86e8f7e634afa5f38531b1d50",Conference Paper,"Final","",Scopus,2-s2.0-85026205556
"Fu, Z., Wu, X., Wang, Q., Ren, K.","36190576100;57191499309;56856235900;8396435500;","Enabling Central Keyword-Based Semantic Extension Search over Encrypted Outsourced Data",2017,"IEEE Transactions on Information Forensics and Security","12","12","7987722","2986","2997",,81,"10.1109/TIFS.2017.2730365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028942136&doi=10.1109%2fTIFS.2017.2730365&partnerID=40&md5=f7abddedd5eae8b555ced4b84853c89a",Article,"Final","",Scopus,2-s2.0-85028942136
"Abualigah, L.M., Khader, A.T., Al-Betar, M.A., Alomari, O.A.","57190984712;24724794600;57202908939;55353965600;","Text feature selection with a robust weight scheme and dynamic dimension reduction to text document clustering",2017,"Expert Systems with Applications","84",,,"24","36",,180,"10.1016/j.eswa.2017.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018382941&doi=10.1016%2fj.eswa.2017.05.002&partnerID=40&md5=3840bb52896947ca851baaf5bc7cd492",Article,"Final","",Scopus,2-s2.0-85018382941
"Murilo Gomes, H., Paul Barddal, J., Enembreck, F., Bifet, A.","","A survey on ensemble learning for data stream classification",2017,"ACM Computing Surveys","50","2",,"1","36",,22,,,Article,"Final","",Scopus,2-s2.0-85042112150
"Singh, J., Gupta, V.","57209916896;25929133200;","Text stemming: Approaches, applications, and challenges",2017,"ACM Computing Surveys","49","3","45","","",,58,"10.1145/2975608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988807959&doi=10.1145%2f2975608&partnerID=40&md5=cf6e8abb6574c8ebbb6285ee81d07aab",Article,"Final","",Scopus,2-s2.0-84988807959
"Gowda, H.S., Suhil, M., Guru, D.S., Raju, L.N.","","Semi-supervised Text Categorization Using Recursive K-means Clustering Recent Trends in Image Processing and Pattern Recognition. RTIP2R 2016",2017,"Communications in Computer and Information Science",,,,"","",,1,,,Article,"Final","",Scopus,2-s2.0-85051349936
"Kamran Munir, M., Anjum, S.","","The use of ontologies for effective knowledge modelling and information retrieval",2017,"Applied Computing and Informatics",,,,"","",,1,,,Article,"Final","",Scopus,2-s2.0-85051330637
"Minervini, P., Tresp, V., D'Amato, C., Fanizzi, N.","36617521100;6603805670;57220032629;6602096916;","Adaptive knowledge propagation in Web ontologies",2017,"ACM Transactions on the Web","12","1","2","","",,6,"10.1145/3105961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028541171&doi=10.1145%2f3105961&partnerID=40&md5=e0daf81175600486e36a134ad8b05f11",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85028541171
"Lamy, J.-B.","24332229000;","Owlready: Ontology-oriented programming in Python with automatic classification and high level constructs for biomedical ontologies",2017,"Artificial Intelligence in Medicine","80",,,"11","28",,257,"10.1016/j.artmed.2017.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028840221&doi=10.1016%2fj.artmed.2017.07.002&partnerID=40&md5=99d955e4d0feb2f63ba59aa53841f2e7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85028840221
