Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Yang, Y., Lv, H., Chen, N.","",[No title available],2021,"A survey on ensemble learning under the era of deep learning",,,,"","",,13,,,Article,"Final","",Scopus,2-s2.0-85112732271
"Rame, A., Cord, M.","57201857412;6701549439;","DICE: DIVERSITY IN DEEP ENSEMBLES VIA CONDITIONAL REDUNDANCY ADVERSARIAL ESTIMATION",2021,"ICLR 2021 - 9th International Conference on Learning Representations",,,,"","",,39,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139544555&partnerID=40&md5=2a69da2b3465afc57e0053639395a746",Conference Paper,"Final","",Scopus,2-s2.0-85139544555
"Wu, G., Gong, S.","57189444640;57193801510;","Peer Collaborative Learning for Online Knowledge Distillation",2021,"35th AAAI Conference on Artificial Intelligence, AAAI 2021","12A",,,"10302","10310",,82,"10.1609/aaai.v35i12.17234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108132989&doi=10.1609%2faaai.v35i12.17234&partnerID=40&md5=b541e5afbd443ff89e6c253498926322",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108132989
"Yang, C., An, Z., Xu, Y.","59157786300;25960651600;59159077300;","Multi-View Contrastive Learning for Online Knowledge Distillation",2021,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","2021-June",,,"3750","3754",,23,"10.1109/ICASSP39728.2021.9414664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106877431&doi=10.1109%2fICASSP39728.2021.9414664&partnerID=40&md5=843898c74c278b3c58edcd645d751026",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85106877431
"He, Pengcheng, Liu, Xiaodong, Gao, Jianfeng, Chen, Weizhu","",[No title available],2020,"Deberta: Decoding-enhanced bert with disentangled attention",,,,"","",,656,,,Article,"Final","",Scopus,2-s2.0-85095224698
"Brown, T. B., Mann, B., Ryder, N., Subbiah, M., Kaplan, J., Dhariwal, P., Neelakantan, A., Shyam, P., Sastry, G., Askell, A., Agarwal, S., Herbert-Voss, A., Krueger, G., Henighan, T., Child, R., Ramesh, A., Ziegler, D. M., Wu, J., Winter, C., Hesse, C., Chen, M., Sigler, E., Litwin, M., Gray, S., Chess, B., Clark, J., Berner, C., McCandlish, S., Radford, A., Sutskever, I., Amodei, D.","",[No title available],2020,"Language models are few-shot learners",,,,"","",,5693,,,Article,"Final","",Scopus,2-s2.0-85090303288
"Li, Zheng, Huang, Ying, Chen, Defang, Luo, Tianren, Cai, Ning, Pan, Zhigeng","","Online knowledge distillation via multi-branch diversity enhancement",2020,"Proceedings of the Asian Conference on Computer Vision",,"4",,"","",,16,,,Article,"Final","",Scopus,2-s2.0-85113657881
"Dong, X., Yu, Z., Cao, W., Shi, Y., Ma, Q.","57210801307;56399660300;57197825879;57205244885;56717086000;","A survey on ensemble learning",2020,"Frontiers of Computer Science","14","2",,"241","258",,1200,"10.1007/s11704-019-8208-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071506977&doi=10.1007%2fs11704-019-8208-z&partnerID=40&md5=7434180e60b18136a1e85afcb737382f",Review,"Final","",Scopus,2-s2.0-85071506977
"Aghajanyan, Armen, Shrivastava, Akshat, Gupta, Anchit, Goyal, Naman, Zettlemoyer, Luke, Gupta, Sonal","","Better fine-tuning by reducing representational collapse",2020,"Better fine-tuning by reducing representational collapse",,,,"","",,70,,,Article,"Final","",Scopus,2-s2.0-85098377475
"Feng, Shaoxiong, Chen, Hongshen, Ren, Xuancheng, Ding, Zhuoye, Li, Kan, Sun, Xu","",[No title available],2020,"Collaborative Group Learning",,,,"","",,2,,,Article,"Final","",Scopus,2-s2.0-85100600378
