CitingEID,Status
2-s2.0-85191761125,success
2-s2.0-85194126453,success
2-s2.0-85208117581,success
2-s2.0-85199188327,success
2-s2.0-85188965492,success
2-s2.0-85191337899,success
2-s2.0-85182939417,success
2-s2.0-85214285984,success
2-s2.0-85202787184,success
2-s2.0-85208148396,success
2-s2.0-85207261606,success
2-s2.0-85202502456,success
2-s2.0-85196304782,success
2-s2.0-85206991702,success
2-s2.0-85192259627,success
2-s2.0-85188800292,success
2-s2.0-85184994480,success
2-s2.0-85183861901,success
2-s2.0-85199861004,success
2-s2.0-85120650753,success
2-s2.0-85067033947,success
2-s2.0-85203682113,success
2-s2.0-85202744167,success
2-s2.0-85188895259,success
2-s2.0-85202182892,success
2-s2.0-85142343445,success
2-s2.0-85162905703,success
2-s2.0-85187326798,success
2-s2.0-85158902418,success
2-s2.0-85141800857,success
2-s2.0-85139298608,success
2-s2.0-85126138854,success
2-s2.0-85116505174,success
2-s2.0-85117539872,success
2-s2.0-85093843665,success
2-s2.0-85091869274,success
2-s2.0-85081547062,success
2-s2.0-85081328988,success
2-s2.0-85063724166,success
2-s2.0-85048692248,success
2-s2.0-85051331973,success
2-s2.0-85042111697,success
2-s2.0-85050877314,success
2-s2.0-85168423176,success
2-s2.0-85145450793,success
2-s2.0-85146067738,success
2-s2.0-85174322186,success
2-s2.0-85142335400,success
2-s2.0-85156105129,success
2-s2.0-85152147971,success
2-s2.0-85149135991,success
2-s2.0-85143630849,success
2-s2.0-85137903203,success
2-s2.0-85135745673,success
2-s2.0-85112684226,success
2-s2.0-85122768235,success
2-s2.0-85064167859,success
2-s2.0-85186462952,success
2-s2.0-85189610439,success
2-s2.0-85102177168,success
2-s2.0-85204885255,success
2-s2.0-85169413716,success
2-s2.0-85141216102,success
2-s2.0-85145450793,success
2-s2.0-85141195671,success
2-s2.0-85137073920,success
2-s2.0-85146659682,success
2-s2.0-85110753705,success
2-s2.0-85123926212,success
2-s2.0-85097293725,success
2-s2.0-85091425441,success
2-s2.0-85095408100,success
2-s2.0-85198985257,success
2-s2.0-85195368334,success
2-s2.0-85194330985,success
2-s2.0-85196264597,success
2-s2.0-85146488335,success
2-s2.0-85145970833,success
2-s2.0-85185874595,success
2-s2.0-85196271491,success
2-s2.0-85168996596,success
2-s2.0-85142931475,success
2-s2.0-85142747553,success
2-s2.0-85137812985,success
2-s2.0-85102943353,success
2-s2.0-85127444522,success
2-s2.0-85076728319,success
2-s2.0-85046251105,success
2-s2.0-85089127619,success
2-s2.0-85082770927,success
2-s2.0-85077240966,success
2-s2.0-85091679433,success
2-s2.0-85091653041,success
2-s2.0-85091631329,success
2-s2.0-85095459348,success
2-s2.0-85095458985,success
2-s2.0-85095426340,success
2-s2.0-85144818884,success
2-s2.0-85128938345,success
2-s2.0-85214464975,success
2-s2.0-85213966416,success
2-s2.0-85209888088,success
2-s2.0-85200569694,success
2-s2.0-85209781457,success
2-s2.0-85186569132,success
2-s2.0-85183752595,success
2-s2.0-85182197840,success
2-s2.0-85193614790,success
2-s2.0-85206662900,success
2-s2.0-85136994853,success
2-s2.0-85133522142,success
2-s2.0-85214307362,success
2-s2.0-85214254349,success
2-s2.0-85210635547,success
2-s2.0-85210829488,success
2-s2.0-85203546741,success
2-s2.0-85199564912,success
2-s2.0-85199264949,success
2-s2.0-85203388273,success
2-s2.0-85193636873,success
2-s2.0-85190544108,success
2-s2.0-85192550825,success
2-s2.0-85192498810,success
2-s2.0-85182197840,success
2-s2.0-85189674337,success
2-s2.0-85191334222,success
2-s2.0-85173612007,success
2-s2.0-85041203318,success
2-s2.0-84985011701,success
2-s2.0-85173266533,success
2-s2.0-85173266533,success
2-s2.0-85183682741,success
2-s2.0-85146658634,success
2-s2.0-85112741437,success
2-s2.0-85056189096,success
2-s2.0-85072882281,success
2-s2.0-85042613653,success
2-s2.0-85027561589,success
2-s2.0-84993984946,success
2-s2.0-84959422957,success
2-s2.0-84950247397,success
2-s2.0-85137910137,success
2-s2.0-85190785757,success
2-s2.0-85182816437,success
2-s2.0-85186217054,success
2-s2.0-85185827481,success
2-s2.0-85213555634,success
2-s2.0-85214945212,success
2-s2.0-85211158634,success
2-s2.0-85212402740,success
2-s2.0-85209080129,success
2-s2.0-85203409744,success
2-s2.0-85212401920,success
2-s2.0-85205286989,success
2-s2.0-85204081269,success
2-s2.0-85208675130,success
2-s2.0-85201074810,success
2-s2.0-85204246950,success
2-s2.0-85197546002,success
2-s2.0-85196410069,success
2-s2.0-85203457787,success
2-s2.0-85195801949,success
2-s2.0-85181542200,success
2-s2.0-85185252685,success
2-s2.0-85185669150,success
2-s2.0-85174144948,success
2-s2.0-85212847563,success
2-s2.0-85204441696,success
2-s2.0-85182497111,success
2-s2.0-85130591840,success
2-s2.0-85171138565,success
2-s2.0-85164693680,success
2-s2.0-85172931277,success
2-s2.0-85161010800,success
2-s2.0-85150854563,success
2-s2.0-85146849313,success
2-s2.0-85146496444,success
